
---------- Begin Simulation Statistics ----------
simSeconds                                   0.003386                       # Number of seconds simulated (Second)
simTicks                                   3386216000                       # Number of ticks simulated (Tick)
finalTick                                  3386216000                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                     16.92                       # Real time elapsed on the host (Second)
hostTickRate                                200135390                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                     664024                       # Number of bytes of host memory used (Byte)
simInsts                                      8104247                       # Number of instructions simulated (Count)
simOps                                       14470787                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                   478982                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                     855261                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                          1000                       # Clock period in ticks (Tick)
system.cpu.numCycles                          3386217                       # Number of cpu cycles simulated (Cycle)
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                        14488335                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                        5                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                       14496955                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                    588                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined                17547                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined             18131                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.squashedNonSpecRemoved                   5                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu.numIssuedDist::samples             3365948                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               4.306946                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              2.569010                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::underflows                0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::0                    459331     13.65%     13.65% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::1                     97107      2.88%     16.53% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::2                    582622     17.31%     33.84% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::3                    119467      3.55%     37.39% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::4                    141897      4.22%     41.61% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::5                    369632     10.98%     52.59% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::6                   1050693     31.22%     83.80% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::7                    205295      6.10%     89.90% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::8                    339904     10.10%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::overflows                 0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::min_value                 0                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::max_value                 8                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::total               3365948                       # Number of insts issued each cycle (Count)
system.cpu.statFuBusy::No_OpClass                   0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntAlu                     238      0.14%      0.14% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntMult                      0      0.00%      0.14% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntDiv                       0      0.00%      0.14% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatAdd                 34038     20.52%     20.67% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCmp                     0      0.00%     20.67% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCvt                     0      0.00%     20.67% # attempts to use FU when none available (Count)
