
---------- Begin Simulation Statistics ----------
simSeconds                                   0.021509                       # Number of seconds simulated (Second)
simTicks                                  21508940000                       # Number of ticks simulated (Tick)
finalTick                                 21508940000                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                     62.18                       # Real time elapsed on the host (Second)
hostTickRate                                345918604                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                     663556                       # Number of bytes of host memory used (Byte)
simInsts                                     11335573                       # Number of instructions simulated (Count)
simOps                                       22597584                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                   182305                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                     363426                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                          1000                       # Clock period in ticks (Tick)
system.cpu.numCycles                         21508941                       # Number of cpu cycles simulated (Cycle)
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                        22980437                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                        7                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                       30243433                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                  25390                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined               382854                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined            569155                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.squashedNonSpecRemoved                   7                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu.numIssuedDist::samples            21492954                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               1.407132                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              2.009411                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::underflows                0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::0                  11714687     54.50%     54.50% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::1                   3257412     15.16%     69.66% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::2                   1004926      4.68%     74.34% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::3                   1080261      5.03%     79.36% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::4                   2291385     10.66%     90.02% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::5                    991944      4.62%     94.64% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::6                    629099      2.93%     97.57% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::7                    350388      1.63%     99.20% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::8                    172852      0.80%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::overflows                 0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::min_value                 0                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::max_value                 8                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::total              21492954                       # Number of insts issued each cycle (Count)
system.cpu.statFuBusy::No_OpClass                   0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntAlu                   36869      1.61%      1.61% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntMult                      0      0.00%      1.61% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntDiv                       0      0.00%      1.61% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatAdd                     0      0.00%      1.61% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCmp                     0      0.00%      1.61% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCvt                     0      0.00%      1.61% # attempts to use FU when none available (Count)
