
---------- Begin Simulation Statistics ----------
simSeconds                                   0.039081                       # Number of seconds simulated (Second)
simTicks                                  39080692000                       # Number of ticks simulated (Tick)
finalTick                                 39080692000                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                    192.30                       # Real time elapsed on the host (Second)
hostTickRate                                203227246                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                     654040                       # Number of bytes of host memory used (Byte)
simInsts                                     34999894                       # Number of instructions simulated (Count)
simOps                                       59206628                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                   182006                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                     307886                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                          1000                       # Clock period in ticks (Tick)
system.cpu.numCycles                        156322769                       # Number of cpu cycles simulated (Cycle)
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                        59252060                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                       49                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                       59246051                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                    110                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined                45475                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined             32957                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.squashedNonSpecRemoved                  37                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu.numIssuedDist::samples           156260185                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               0.379150                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              0.986471                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::underflows                0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::0                 127046796     81.30%     81.30% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::1                  14980286      9.59%     90.89% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::2                   6310213      4.04%     94.93% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::3                   2982261      1.91%     96.84% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::4                   2996266      1.92%     98.76% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::5                    954600      0.61%     99.37% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::6                    988278      0.63%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::7                      1056      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::8                       429      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::overflows                 0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::min_value                 0                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::max_value                 8                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::total             156260185                       # Number of insts issued each cycle (Count)
system.cpu.statFuBusy::No_OpClass                   0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntAlu                     272      0.01%      0.01% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntMult                      0      0.00%      0.01% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntDiv                       0      0.00%      0.01% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatAdd                     0      0.00%      0.01% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCmp                     0      0.00%      0.01% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCvt                     0      0.00%      0.01% # attempts to use FU when none available (Count)
