
---------- Begin Simulation Statistics ----------
simSeconds                                   0.053448                       # Number of seconds simulated (Second)
simTicks                                  53448207000                       # Number of ticks simulated (Tick)
finalTick                                 53448207000                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                     62.73                       # Real time elapsed on the host (Second)
hostTickRate                                852020793                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                     655064                       # Number of bytes of host memory used (Byte)
simInsts                                      9995995                       # Number of instructions simulated (Count)
simOps                                       17794319                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                   159346                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                     283660                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                          1000                       # Clock period in ticks (Tick)
system.cpu.numCycles                         53448208                       # Number of cpu cycles simulated (Cycle)
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                        17868083                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                       34                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                       17863354                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                     71                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined                73792                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined             48896                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.squashedNonSpecRemoved                  22                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu.numIssuedDist::samples            53438375                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               0.334280                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              1.104395                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::underflows                0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::0                  47707562     89.28%     89.28% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::1                   1066264      2.00%     91.27% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::2                   1593394      2.98%     94.25% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::3                    641355      1.20%     95.45% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::4                    975043      1.82%     97.28% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::5                   1077215      2.02%     99.29% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::6                    274459      0.51%     99.81% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::7                     71428      0.13%     99.94% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::8                     31655      0.06%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::overflows                 0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::min_value                 0                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::max_value                 8                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::total              53438375                       # Number of insts issued each cycle (Count)
system.cpu.statFuBusy::No_OpClass                   0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntAlu                   54368     18.84%     18.84% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntMult                      0      0.00%     18.84% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntDiv                       0      0.00%     18.84% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatAdd                     0      0.00%     18.84% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCmp                     0      0.00%     18.84% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCvt                     0      0.00%     18.84% # attempts to use FU when none available (Count)
