
---------- Begin Simulation Statistics ----------
simSeconds                                   0.000041                       # Number of seconds simulated (Second)
simTicks                                     40502000                       # Number of ticks simulated (Tick)
finalTick                                    40502000                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                      0.18                       # Real time elapsed on the host (Second)
hostTickRate                                222697917                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                     671180                       # Number of bytes of host memory used (Byte)
simInsts                                         8282                       # Number of instructions simulated (Count)
simOps                                          16026                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                    45479                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                      87999                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                          1000                       # Clock period in ticks (Tick)
system.cpu.numCycles                            40503                       # Number of cpu cycles simulated (Cycle)
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                           28919                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                        7                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                          25944                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                     54                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined                12894                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined             18770                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.squashedNonSpecRemoved                   7                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu.numIssuedDist::samples               22584                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               1.148778                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              2.061191                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::underflows                0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::0                     15324     67.85%     67.85% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::1                      1691      7.49%     75.34% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::2                      1151      5.10%     80.44% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::3                       945      4.18%     84.62% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::4                       956      4.23%     88.85% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::5                       940      4.16%     93.02% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::6                       792      3.51%     96.52% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::7                       440      1.95%     98.47% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::8                       345      1.53%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::overflows                 0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::min_value                 0                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::max_value                 8                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::total                 22584                       # Number of insts issued each cycle (Count)
system.cpu.statFuBusy::No_OpClass                   0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntAlu                     236     78.67%     78.67% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntMult                      0      0.00%     78.67% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntDiv                       0      0.00%     78.67% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatAdd                     0      0.00%     78.67% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCmp                     0      0.00%     78.67% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCvt                     0      0.00%     78.67% # attempts to use FU when none available (Count)
