
---------- Begin Simulation Statistics ----------
simSeconds                                   0.041798                       # Number of seconds simulated (Second)
simTicks                                  41798054000                       # Number of ticks simulated (Tick)
finalTick                                 41798054000                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                    122.88                       # Real time elapsed on the host (Second)
hostTickRate                                340148289                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                     665288                       # Number of bytes of host memory used (Byte)
simInsts                                      9996211                       # Number of instructions simulated (Count)
simOps                                       17794660                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                    81348                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                     144811                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                          1000                       # Clock period in ticks (Tick)
system.cpu.numCycles                         41798055                       # Number of cpu cycles simulated (Cycle)
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                        17867740                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                       34                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                       17862362                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                    137                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined                73108                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined             58446                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.squashedNonSpecRemoved                  22                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu.numIssuedDist::samples            41779329                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               0.427541                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              1.249536                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::underflows                0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::0                  36345988     87.00%     87.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::1                    795668      1.90%     88.90% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::2                   1442146      3.45%     92.35% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::3                    739142      1.77%     94.12% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::4                    794123      1.90%     96.02% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::5                   1245626      2.98%     99.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::6                    365873      0.88%     99.88% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::7                     40988      0.10%     99.98% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::8                      9775      0.02%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::overflows                 0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::min_value                 0                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::max_value                 8                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::total              41779329                       # Number of insts issued each cycle (Count)
system.cpu.statFuBusy::No_OpClass                   0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntAlu                   29877     22.67%     22.67% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntMult                      0      0.00%     22.67% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntDiv                       0      0.00%     22.67% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatAdd                     0      0.00%     22.67% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCmp                     0      0.00%     22.67% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCvt                     0      0.00%     22.67% # attempts to use FU when none available (Count)
