
---------- Begin Simulation Statistics ----------
simSeconds                                   0.029991                       # Number of seconds simulated (Second)
simTicks                                  29990756000                       # Number of ticks simulated (Tick)
finalTick                                 29990756000                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                    159.88                       # Real time elapsed on the host (Second)
hostTickRate                                187578160                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                     665588                       # Number of bytes of host memory used (Byte)
simInsts                                     11335789                       # Number of instructions simulated (Count)
simOps                                       22597925                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                    70900                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                     141339                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                          1000                       # Clock period in ticks (Tick)
system.cpu.numCycles                         29990757                       # Number of cpu cycles simulated (Cycle)
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                        22838798                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                        7                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                       34129425                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                  20471                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined               240874                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined            420451                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.squashedNonSpecRemoved                   7                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu.numIssuedDist::samples            29980432                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               1.138390                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              1.864445                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::underflows                0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::0                  19113446     63.75%     63.75% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::1                   3180522     10.61%     74.36% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::2                   1093459      3.65%     78.01% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::3                   1723090      5.75%     83.76% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::4                   2447794      8.16%     91.92% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::5                   1390106      4.64%     96.56% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::6                    558683      1.86%     98.42% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::7                    287745      0.96%     99.38% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::8                    185587      0.62%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::overflows                 0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::min_value                 0                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::max_value                 8                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::total              29980432                       # Number of insts issued each cycle (Count)
system.cpu.statFuBusy::No_OpClass                   0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntAlu                   66052      1.65%      1.65% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntMult                      0      0.00%      1.65% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntDiv                       0      0.00%      1.65% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatAdd                     0      0.00%      1.65% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCmp                     0      0.00%      1.65% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCvt                     0      0.00%      1.65% # attempts to use FU when none available (Count)
