
---------- Begin Simulation Statistics ----------
simSeconds                                   0.050490                       # Number of seconds simulated (Second)
simTicks                                  50489781500                       # Number of ticks simulated (Tick)
finalTick                                 50489781500                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                    178.58                       # Real time elapsed on the host (Second)
hostTickRate                                282728105                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                     661196                       # Number of bytes of host memory used (Byte)
simInsts                                      9996211                       # Number of instructions simulated (Count)
simOps                                       17794660                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                    55976                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                      99645                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                          1000                       # Clock period in ticks (Tick)
system.cpu.numCycles                        201959127                       # Number of cpu cycles simulated (Cycle)
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                        17869170                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                       34                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                       17864783                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                     60                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined                74538                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined             54159                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.squashedNonSpecRemoved                  22                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu.numIssuedDist::samples           201894967                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               0.088486                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              0.585661                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::underflows                0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::0                 196124428     97.14%     97.14% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::1                   1071110      0.53%     97.67% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::2                   1662464      0.82%     98.50% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::3                    629965      0.31%     98.81% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::4                    971806      0.48%     99.29% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::5                   1057321      0.52%     99.81% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::6                    271730      0.13%     99.95% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::7                     74503      0.04%     99.98% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::8                     31640      0.02%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::overflows                 0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::min_value                 0                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::max_value                 8                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::total             201894967                       # Number of insts issued each cycle (Count)
system.cpu.statFuBusy::No_OpClass                   0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntAlu                   51137     29.04%     29.04% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntMult                      0      0.00%     29.04% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntDiv                       0      0.00%     29.04% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatAdd                     0      0.00%     29.04% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCmp                     0      0.00%     29.04% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCvt                     0      0.00%     29.04% # attempts to use FU when none available (Count)
