
---------- Begin Simulation Statistics ----------
simSeconds                                   0.081525                       # Number of seconds simulated (Second)
simTicks                                  81525023000                       # Number of ticks simulated (Tick)
finalTick                                 81525023000                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                    118.20                       # Real time elapsed on the host (Second)
hostTickRate                                689743575                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                     663240                       # Number of bytes of host memory used (Byte)
simInsts                                      9996211                       # Number of instructions simulated (Count)
simOps                                       17794660                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                    84573                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                     150552                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                          1000                       # Clock period in ticks (Tick)
system.cpu.numCycles                         81525024                       # Number of cpu cycles simulated (Cycle)
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                        17867263                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                       34                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                       17861661                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                    147                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined                72631                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined             59287                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.squashedNonSpecRemoved                  22                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu.numIssuedDist::samples            81502087                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               0.219156                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              0.907455                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::underflows                0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::0                  75760990     92.96%     92.96% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::1                   1073980      1.32%     94.27% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::2                   1618428      1.99%     96.26% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::3                    594993      0.73%     96.99% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::4                   1018443      1.25%     98.24% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::5                   1041666      1.28%     99.52% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::6                    287400      0.35%     99.87% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::7                     90152      0.11%     99.98% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::8                     16035      0.02%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::overflows                 0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::min_value                 0                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::max_value                 8                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::total              81502087                       # Number of insts issued each cycle (Count)
system.cpu.statFuBusy::No_OpClass                   0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntAlu                   51234     17.02%     17.02% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntMult                      0      0.00%     17.02% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntDiv                       0      0.00%     17.02% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatAdd                     0      0.00%     17.02% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCmp                     0      0.00%     17.02% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCvt                     0      0.00%     17.02% # attempts to use FU when none available (Count)
