
---------- Begin Simulation Statistics ----------
simSeconds                                   0.004520                       # Number of seconds simulated (Second)
simTicks                                   4519927000                       # Number of ticks simulated (Tick)
finalTick                                  4519927000                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                     21.69                       # Real time elapsed on the host (Second)
hostTickRate                                208434131                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                     661224                       # Number of bytes of host memory used (Byte)
simInsts                                      6475263                       # Number of instructions simulated (Count)
simOps                                        8915490                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                   298602                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                     411131                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                          1000                       # Clock period in ticks (Tick)
system.cpu.numCycles                          4519928                       # Number of cpu cycles simulated (Cycle)
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                        12755378                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                        3                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                       10980172                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                   2861                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined              3839885                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined           8563540                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.squashedNonSpecRemoved                   3                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu.numIssuedDist::samples             4509656                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               2.434814                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              2.099933                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::underflows                0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::0                   1199887     26.61%     26.61% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::1                    591920     13.13%     39.73% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::2                    633039     14.04%     53.77% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::3                    641853     14.23%     68.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::4                    671015     14.88%     82.88% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::5                    324147      7.19%     90.07% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::6                    289771      6.43%     96.50% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::7                    110998      2.46%     98.96% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::8                     47026      1.04%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::overflows                 0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::min_value                 0                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::max_value                 8                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::total               4509656                       # Number of insts issued each cycle (Count)
system.cpu.statFuBusy::No_OpClass                   0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntAlu                   24000     10.31%     10.31% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntMult                      0      0.00%     10.31% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntDiv                       0      0.00%     10.31% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatAdd                     0      0.00%     10.31% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCmp                     0      0.00%     10.31% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCvt                     0      0.00%     10.31% # attempts to use FU when none available (Count)
